+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                      clk |                      clk |                                                                             system/knn/knn0/min2_reg[2]/D|
|                      clk |                      clk |                                                                             system/knn/knn0/min2_reg[0]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[22]/D|
|                      clk |                      clk |                                                                             system/knn/knn0/min2_reg[7]/D|
|                      clk |                      clk |                                                                             system/knn/knn0/min2_reg[5]/D|
|                      clk |                      clk |                                                                             system/knn/knn0/min2_reg[4]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[26]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[12]/D|
|                      clk |                      clk |                                                                           system/knn/knn0/label3_reg[0]/D|
|                      clk |                      clk |                                                                           system/knn/knn0/label3_reg[5]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[20]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[21]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[27]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[17]/D|
|                      clk |                      clk |                                                                            system/knn/knn0/min2_reg[29]/D|
|                      clk |                      clk |                                                                           system/knn/knn0/label3_reg[2]/D|
|                      clk |                      clk |                                                                           system/knn/knn0/label3_reg[4]/D|
|                      clk |                      clk |                                                                           system/knn/knn0/label3_reg[1]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
